dataset,fusion,alpha_iqr,role,n_queries,bm25,dense,static_best,router,oracle,headroom,gain,gain_ci_lo,gain_ci_hi,significant,pct_headroom,router_us,model,n_features,features
hotpotqa,borda,0.95,dev,7405,0.6300374046062212,0.39294452132978064,0.6452539072535912,0.6551023093410467,0.7347277337448297,0.08947382649123847,0.009848402087455417,0.006963917435349569,0.01262918727807512,True,11.00702012383454,0.14625578379204432,logreg|binary,3,ql|sigma_k_dense|d_entropy
hotpotqa,rrf,0.71,dev,7405,0.6300374046062212,0.39294452132978064,0.6488253984804181,0.6634125277605694,0.7259441719891381,0.07711877350871998,0.01458712928015141,0.012269078613094436,0.016926231592069085,True,18.915146878602798,3.3391039670117393,extra_trees|multibin,3,ql|smv_dense|d_entropy
hotpotqa,score-minmax,0.57,dev,7405,0.6300374046062212,0.39294452132978064,0.6747498455912576,0.6810131163382876,0.7237591969862173,0.049009351394959655,0.006263270747029994,0.004696136427702849,0.007818037160914488,True,12.779746249965953,0.2369050384272119,logreg|multibin,3,margin_bm25|entropy_bm25|smv_dense
fever,borda,0.51,held-out,6666,0.6401179911167972,0.5086261532262755,0.6668544108015452,0.7193935540938781,0.8198441759268165,0.1529897651252713,0.05253914329233295,0.046921432983039885,0.05781391811782162,True,34.341606609640046,0.13240414372335996,logreg|binary,3,ql|sigma_k_dense|d_entropy
nfcorpus,borda,0.51,held-out,323,0.3187093909265546,0.33458346611931544,0.3429584473000448,0.34774045684486193,0.4268569596580883,0.08389851235804346,0.004782009544817171,-0.010934394817988122,0.021225895753285696,False,5.699754870991718,0.7906561031153327,logreg|binary,3,ql|sigma_k_dense|d_entropy
nfcorpus,rrf,0.51,held-out,323,0.3187093909265546,0.33458346611931544,0.35342423839561526,0.35843703898698676,0.4234623405718666,0.07003810217625134,0.005012800591371465,-0.0025338447756532165,0.013997112312330334,False,7.15724789166434,39.6089941182465,extra_trees|multibin,3,ql|smv_dense|d_entropy
fever,rrf,0.5,held-out,6666,0.6401179911167972,0.5086261532262755,0.6936597695375515,0.7265013138482868,0.8150269730994739,0.12136720356192243,0.03284154431073533,0.02879791728900119,0.03681420016321352,True,27.059653140956925,3.4573559819458306,extra_trees|multibin,3,ql|smv_dense|d_entropy
nfcorpus,score-minmax,0.45,held-out,323,0.3187093909265546,0.33458346611931544,0.3743498525999829,0.372700470781124,0.4210739137254768,0.04672406112549393,-0.0016493818188588931,-0.008071816805242769,0.004913152644375944,False,-3.5300480718679332,0.9048663817876633,logreg|multibin,3,margin_bm25|entropy_bm25|smv_dense
fever,score-minmax,0.44,held-out,6666,0.6401179911167972,0.5086261532262755,0.7285346708288278,0.737476004145817,0.8057347631459274,0.07720009231709957,0.008941333316989227,0.006166222533859486,0.011743681512538295,True,11.582024125389227,0.253161725619159,logreg|multibin,3,margin_bm25|entropy_bm25|smv_dense
scifact,rrf,0.16,held-out,300,0.6752887735563026,0.6556969164934108,0.7096833507257208,0.7174029324110632,0.7952656826275997,0.08558233190187892,0.007719581685342497,-0.01276438999686374,0.029780914454856228,False,9.020064671985196,41.33721347898245,extra_trees|multibin,3,ql|smv_dense|d_entropy
msmarco,score-minmax,0.14,held-out,6980,0.23004247619767995,0.3972112940855878,0.4122610238144455,0.4149916943802482,0.5193618997296702,0.10710087591522466,0.002730670565802693,0.0007127703607118673,0.0046388604925195935,True,2.5496248676473443,0.30247796124066184,logreg|multibin,3,margin_bm25|entropy_bm25|smv_dense
scifact,borda,0.13,held-out,300,0.6752887735563026,0.6556969164934108,0.709163746875041,0.7112516546106558,0.8014042824677404,0.0922405355926994,0.002087907735614681,-0.020792685425264325,0.02405026486294764,False,2.263546847596507,0.8253264240920544,logreg|binary,3,ql|sigma_k_dense|d_entropy
msmarco,rrf,0.12,held-out,6980,0.23004247619767995,0.3972112940855878,0.40149320638079944,0.4031409787331215,0.524681484356605,0.12318827797580556,0.001647772352322068,-0.0003137368984897119,0.003755656543524333,False,1.3376048268534886,3.313517496843734,extra_trees|multibin,3,ql|smv_dense|d_entropy
scifact,score-minmax,0.12,held-out,300,0.6752887735563026,0.6556969164934108,0.7323741042549642,0.7288921031126888,0.7884736609659155,0.05609955671095135,-0.003482001142275449,-0.016847910129218584,0.009782421815982536,False,-6.206824699553674,0.9271168770889441,logreg|multibin,3,margin_bm25|entropy_bm25|smv_dense
fiqa,score-minmax,0.0825,held-out,648,0.23769987368278134,0.499632541063815,0.5128236697113294,0.5145530649688099,0.5787484790558992,0.06592480934456979,0.001729395257480625,-0.004304575283283905,0.007691664151916402,False,2.623284427629634,0.5478566127288856,logreg|multibin,3,margin_bm25|entropy_bm25|smv_dense
msmarco,borda,0.07,held-out,6980,0.23004247619767995,0.3972112940855878,0.4013075107642716,0.40219782887084354,0.5377229680421645,0.13641545727789284,0.0008903181065719778,-0.001825358202681114,0.0034388106289094324,False,0.6526519240105648,0.1584768113826954,logreg|binary,3,ql|sigma_k_dense|d_entropy
fiqa,rrf,0.05,held-out,648,0.23769987368278134,0.499632541063815,0.5064939629733765,0.5078812206719908,0.5860281753854771,0.07953421241210068,0.001387257698614375,-0.0026844619567786554,0.005508114633864654,False,1.744227617954398,19.20178858850749,extra_trees|multibin,3,ql|smv_dense|d_entropy
fiqa,borda,0.01,held-out,648,0.23769987368278134,0.499632541063815,0.499632541063815,0.49996982817785657,0.5933092189210921,0.09367667785727712,0.00033728711404161385,-0.007335601258533742,0.00728337243789446,False,0.3600545213137191,0.43208013794580363,logreg|binary,3,ql|sigma_k_dense|d_entropy
quora,borda,0.0,held-out,10000,0.7870931672077082,0.87455012462504,0.8854324908375147,0.8823351153244366,0.9351239394715769,0.04969144863406216,-0.0030973755130781562,-0.005198932436823255,-0.0009621004513784,True,-6.233216374688235,0.1034323126077652,logreg|binary,3,ql|sigma_k_dense|d_entropy
quora,rrf,0.0,held-out,10000,0.7870931672077082,0.87455012462504,0.8883702448281747,0.8863426888717364,0.9357686954073461,0.04739845057917136,-0.002027555956438328,-0.003552421713723596,-0.0003230101707030693,True,-4.277684041700113,2.3341941880062222,extra_trees|multibin,3,ql|smv_dense|d_entropy
quora,score-minmax,0.0,held-out,10000,0.7870931672077082,0.87455012462504,0.9012977120060929,0.8985539468786891,0.9345701951042953,0.03327248309820241,-0.0027437651274037672,-0.00394033438195898,-0.001641528181857601,True,-8.246349150755156,0.2843547845259309,logreg|multibin,3,margin_bm25|entropy_bm25|smv_dense
